ingredient_id,outlet_id,ingredient_name,unit,stock_current,stock_min_threshold,unit_cost
ING024,OUT016,Soda Water,liter,14.38,4.87,9020.0
ING025,OUT016,Bir Kaleng,pcs,10.16,3.22,30960.0
ING026,OUT016,Wine House,pcs,2.39,1.66,205630.0
ING027,OUT016,Es Batu Kristal,kg,28.76,11.82,4500.0
ING028,OUT016,Santan Kelapa,liter,5.2,2.53,22380.0
ING029,OUT016,Kecap Manis,liter,1.95,0.62,26980.0
ING030,OUT016,Rempah Mix,kg,0.66,0.21,80130.0
ING001,OUT017,Beras Premium,kg,4.38,2.52,16870.0
ING002,OUT017,Daging Sapi,kg,2.0,1.27,161010.0
ING003,OUT017,Daging Ayam,kg,11.91,3.91,42740.0
ING005,OUT017,Udang,kg,1.27,0.88,123940.0
ING006,OUT017,Cabai Merah,kg,0.13,0.49,54290.0
ING007,OUT017,Bawang Merah,kg,0.41,0.57,35190.0
ING008,OUT017,Bawang Putih,kg,0.37,0.13,39860.0
ING009,OUT017,Telur,kg,1.73,0.97,31310.0
ING010,OUT017,Minyak Goreng,liter,1.53,0.97,19950.0
ING011,OUT017,Tepung Terigu,kg,5.72,1.89,13580.0
ING012,OUT017,Gula Pasir,kg,1.52,0.51,17980.0
ING013,OUT017,Susu UHT,liter,0.97,1.12,24860.0
ING014,OUT017,Keju Mozzarella,kg,0.53,0.37,138420.0
ING015,OUT017,Mentega,kg,0.51,0.25,75480.0
ING016,OUT017,Kopi Arabika,kg,0.8,0.31,205740.0
ING017,OUT017,Teh Premium,kg,0.3,0.1,104960.0
ING018,OUT017,Sayuran Segar Mix,kg,2.28,1.12,20740.0
ING019,OUT017,Kentang,kg,11.19,3.61,15440.0
ING020,OUT017,Tomat,kg,0.45,0.18,14350.0
ING021,OUT017,Coklat Couverture,kg,0.77,0.33,162510.0
ING022,OUT017,Buah Segar Mix,kg,11.16,3.4,38490.0
ING024,OUT017,Soda Water,liter,2.08,3.07,9020.0
ING025,OUT017,Bir Kaleng,pcs,3.9,2.92,30960.0
ING027,OUT017,Es Batu Kristal,kg,4.83,3.15,4500.0
ING028,OUT017,Santan Kelapa,liter,1.23,0.83,22380.0
ING029,OUT017,Kecap Manis,liter,0.8,0.66,26980.0
ING030,OUT017,Rempah Mix,kg,0.62,0.29,80130.0
